cod_provin;provincia;cod_canton;canton;15/03/2020;16/03/2020;17/03/2020;18/03/2020;19/03/2020;20/03/2020;21/03/2020;22/03/2020;23/03/2020;24/03/2020;25/03/2020;26/03/2020;27/03/2020;28/03/2020;29/03/2020;30/03/2020;31/03/2020;01/04/2020;02/04/2020;03/04/2020;04/04/2020;05/04/2020;06/04/2020;07/04/2020;08/04/2020;09/04/2020;10/04/2020;11/04/2020;12/04/2020;13/04/2020;14/04/2020;15/04/2020;16/04/2020;17/04/2020;18/04/2020;19/04/2020;20/04/2020;21/04/2020;22/04/2020;23/04/2020;24/04/2020;25/04/2020;26/04/2020;27/04/2020;28/04/2020;29/04/2020;30/04/2020;01/05/2020;02/05/2020;03/05/2020;04/05/2020;05/05/2020;06/05/2020;07/05/2020;08/05/2020;09/05/2020;10/05/2020;11/05/2020;12/05/2020;13/05/2020;14/05/2020;15/05/2020;16/05/2020;17/05/2020;18/05/2020;19/05/2020;20/05/2020;21/05/2020;22/05/2020;23/05/2020;24/05/2020;25/05/2020;26/05/2020;27/05/2020;28/05/2020;29/05/2020;30/05/2020;31/05/2020;01/06/2020;02/06/2020;03/06/2020;04/06/2020;05/06/2020;06/06/2020;07/06/2020;08/06/2020;09/06/2020;10/06/2020;11/06/2020;12/06/2020;13/06/2020;14/06/2020;15/06/2020;16/06/2020;17/06/2020;18/06/2020;19/06/2020;20/06/2020;21/06/2020;22/06/2020;23/06/2020;24/06/2020;25/06/2020;26/06/2020;27/06/2020;28/06/2020;29/06/2020;30/06/2020;01/07/2020;02/07/2020;03/07/2020;04/07/2020;05/07/2020;06/07/2020;07/07/2020;08/07/2020;09/07/2020;10/07/2020;11/07/2020;12/07/2020;13/07/2020;14/07/2020;15/07/2020;16/07/2020;17/07/2020;18/07/2020;19/07/2020;20/07/2020;21/07/2020;22/07/2020;23/07/2020;24/07/2020;25/07/2020;26/07/2020;27/07/2020;28/07/2020;29/07/2020;30/07/2020;31/07/2020;01/08/2020;02/08/2020;03/08/2020;04/08/2020;05/08/2020;06/08/2020;07/08/2020;08/08/2020;09/08/2020;10/08/2020;11/08/2020;12/08/2020;13/08/2020;14/08/2020;15/08/2020;16/08/2020;17/08/2020;18/08/2020;19/08/2020;20/08/2020;21/08/2020;22/08/2020;23/08/2020;24/08/2020;25/08/2020;26/08/2020;27/08/2020;28/08/2020;29/08/2020;30/08/2020;31/08/2020;01/09/2020;02/09/2020;03/09/2020;04/09/2020;05/09/2020;06/09/2020;07/09/2020;08/09/2020;09/09/2020;10/09/2020;11/09/2020;12/09/2020;13/09/2020;14/09/2020;15/09/2020;16/09/2020;17/09/2020;18/09/2020;19/09/2020;20/09/2020;21/09/2020
1;San José;112;Acosta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;2;2;2;2;2;2;2;3;3;5;7;9;9;9;19;22;22;25;25;27;27;29;32;35;37;38;40;41;41;47;47;51;51;54;56;56;62;62;62;68;71;74;78;81;81;92;93;100;110;112;123;127;135;142;147;151;164;169;174;180;185;187;193;197;202;215;222;223;233;239;248;256;259;270;276;292;299;306;316;324;334;342;357;366;371;381;387;393;400;404
1;San José;110;Alajuelita;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;3;3;3;3;4;4;4;6;5;7;8;8;12;12;12;12;12;13;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;15;15;15;15;15;15;16;16;17;17;16;16;16;16;20;19;23;23;26;28;30;33;32;33;47;54;56;68;69;75;84;91;97;116;121;126;139;144;172;190;211;223;237;254;263;277;304;343;367;410;435;477;489;516;566;616;672;728;747;748;790;868;904;989;1015;1048;1086;1114;1146;1160;1170;1211;1218;1246;1289;1335;1393;1441;1471;1503;1521;1567;1611;1657;1695;1726;1789;1850;1900;1939;1983;2056;2085;2132;2153;2184;2213;2267;2308;2353;2404;2430;2479;2515;2570;2593;2679;2712;2735;2803;2828;2903;2961;3008;3051;3086;3134;3189;3259;3293;3341;3363
1;San José;106;Aserrí;0;0;0;0;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;4;6;5;6;7;8;9;9;10;11;11;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;12;12;12;12;12;13;13;13;19;19;19;19;19;20;20;20;20;20;20;20;20;20;21;21;22;22;24;24;24;24;24;24;24;24;28;28;28;28;28;28;29;29;29;29;29;29;29;29;30;30;30;31;31;32;32;35;37;38;39;43;51;53;58;64;81;81;82;91;95;98;99;101;103;115;120;127;136;146;146;149;154;180;183;198;204;218;229;239;242;261;264;274;287;293;309;314;339;346;356;366;382;395;413;422;438;449;454;470;478;488;511;518;535;542;562;582;595;612;626;633;642;650;671;690;702;716;733;744;764;781;798;820;836;845;871;885;912;926;945;956;968;978
1;San José;118;Curridabat;0;0;1;2;3;5;5;5;5;5;5;5;7;8;8;10;11;12;14;14;14;14;14;15;15;20;20;20;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;23;23;23;24;24;24;24;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;26;26;27;28;28;29;29;29;29;29;29;29;31;33;34;34;34;35;35;38;40;42;42;49;52;57;66;70;76;93;100;103;109;134;140;144;149;157;179;184;191;202;229;237;244;253;271;292;302;318;328;335;339;357;377;388;395;420;424;433;450;462;492;507;524;549;576;596;632;648;688;704;717;735;762;775;811;844;859;882;903;920;937;988;1019;1034;1054;1083;1099;1135;1164;1200;1214;1219;1249;1285;1325;1351;1397;1421;1434;1447;1490;1497;1542;1597;1638;1655
1;San José;103;Desamparados;4;4;4;4;4;5;4;4;5;5;7;8;12;11;13;13;15;17;18;19;21;21;23;23;27;30;31;34;37;38;39;39;42;44;44;44;44;46;46;47;47;44;45;46;46;46;46;46;46;46;46;46;47;47;48;48;48;48;48;48;48;49;48;48;48;48;48;48;48;48;47;46;46;46;46;46;46;46;46;47;53;54;55;53;53;53;53;55;56;57;57;57;57;58;61;65;77;84;92;95;102;125;138;144;159;164;188;204;251;262;283;308;323;336;363;393;470;497;515;543;576;605;636;709;765;835;871;895;931;964;1058;1106;1192;1219;1281;1338;1387;1415;1445;1464;1518;1546;1576;1623;1665;1785;1833;1873;1921;1968;2023;2129;2195;2260;2326;2406;2473;2527;2567;2669;2739;2822;2870;2915;3005;3101;3168;3268;3314;3414;3445;3549;3625;3704;3800;3901;3963;4019;4129;4240;4339;4460;4535;4633;4668;4744;4856;4956;5036;5105;5140
1;San José;117;Dota;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;5;5;5;5;5;6;6;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8
1;San José;102;Escazú;4;5;5;6;9;11;11;11;11;13;13;13;14;16;17;18;19;18;18;18;18;19;19;19;19;22;23;24;27;27;27;27;27;27;27;27;27;27;29;29;29;29;29;29;29;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;31;31;31;31;31;32;32;34;42;42;42;43;43;43;45;46;46;48;52;56;56;61;62;62;65;65;73;77;92;98;100;111;113;120;135;140;145;148;163;169;200;207;224;240;253;264;267;286;313;324;348;369;380;399;408;416;432;437;456;460;460;477;485;498;515;517;520;539;547;569;597;604;621;624;635;642;663;686;713;737;746;755;768;774;792;815;832;835;844;869;882;923;952;972;974;989;1022;1039;1055;1068;1083;1093;1100;1115;1142;1143;1164;1184;1191
1;San José;108;Goicoechea;0;0;0;1;1;1;0;0;7;7;8;8;9;10;10;10;11;10;11;10;11;11;11;12;13;14;16;16;17;17;18;18;18;18;19;19;19;19;19;20;20;21;21;21;22;22;23;24;24;24;26;27;30;30;30;30;30;30;30;30;30;31;31;32;32;32;32;32;33;33;34;36;37;37;38;38;38;38;38;39;39;39;39;41;43;43;46;47;48;50;50;51;53;54;54;57;58;58;58;61;61;62;66;71;72;76;85;87;101;112;121;126;133;146;160;167;192;200;205;211;225;232;257;273;293;313;338;351;354;379;429;448;481;488;516;552;561;572;591;604;631;636;657;672;692;727;742;779;800;822;844;897;911;931;955;975;1002;1033;1056;1094;1131;1160;1198;1221;1248;1278;1328;1369;1405;1428;1467;1501;1520;1546;1579;1595;1624;1666;1693;1751;1783;1818;1847;1888;1897;1974;2006;2066;2093;2132;2177
1;San José;120;León Cortés Castro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;8;8;8;8;8;9;9;10;10;10;10;12;12;13;14;14;15;15;15;16;19;20;22;26;29;30;30;31;32;35;36;34;34;35;35;35;35
1;San José;115;Montes de Oca;0;0;0;0;0;2;3;3;3;3;5;5;5;8;8;8;8;9;9;9;9;9;11;12;14;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;18;18;18;18;18;18;18;18;18;18;19;19;19;19;19;19;19;19;19;19;19;19;20;20;19;19;19;19;19;19;19;19;19;19;19;20;21;22;22;25;27;29;34;43;46;46;50;52;52;55;61;64;69;72;76;81;82;86;91;99;108;110;113;130;137;144;161;167;185;196;199;200;204;211;218;218;223;233;242;253;264;265;274;276;278;300;308;318;325;343;354;360;362;369;379;396;403;408;416;419;425;437;444;454;460;464;468;473;491;502;511;523;543;556;569;593;602;613;618;641;658;667;680;695;703
